"block_number","min"
11754104,5.8e+10
11754105,5.8e+10
11754106,5.8e+10
11754107,5.7e+10
11754108,7.6e+10
11754109,56000001459
11754110,1e+09
11754111,7.6581e+10
11754112,6.8e+10
11754113,56000001459
11754114,56000001459
11754115,7.01e+10
11754116,56000001347
11754117,5.6e+10
11754118,5.6e+10
11754119,1e+09
11754120,5.9e+10
11754121,55000001123
11754122,5.5e+10
11754123,5.5e+10
11754124,5.5e+10
11754125,5.5e+10
11754126,1.1e+11
11754127,1.07e+11
11754128,9.715e+10
11754129,7.6e+10
11754130,7.777e+10
11754131,7e+10
11754132,6.49e+10
11754133,5.985e+10
11754134,1.12e+11
11754135,1e+11
11754136,1.1e+11
11754137,1e+09
11754139,7.15e+10
11754140,6.6e+10
11754141,6.2e+10
11754142,60500000001
11754143,5.9e+10
11754144,7.3e+10
11754145,5.8e+10
11754146,5.7e+10
11754147,5.7e+10
11754148,7e+10
11754149,5.9e+10
11754150,5.7e+10
11754151,1.1e+11
11754152,8.208e+10
11754153,1e+09
11754154,3e+10
11754155,58000001459
11754156,5.7e+10
11754157,5.8e+10
11754158,5.6e+10
11754159,5.5e+10
11754160,7.6e+10
11754161,5.5e+10
11754162,5e+10
11754163,5.7e+10
11754164,5.5e+10
11754165,9.1e+10
11754166,5.7e+10
11754167,6.84e+10
11754168,9e+10
11754169,1.15e+11
11754170,1e+09
11754171,9.1e+10
11754172,8e+10
11754173,7.2e+10
11754174,6.1e+10
11754175,58000001459
11754176,6e+10
11754177,57000001459
11754178,1e+09
11754179,1e+11
11754180,1e+09
11754181,57000001460
11754182,5.7e+10
11754183,5.7e+10
11754184,5.7e+10
11754185,1e+09
11754186,5.61e+10
11754187,1.055e+11
11754188,71250001823
11754189,56000001347
11754190,1e+09
11754191,1e+09
11754192,1.12e+11
11754193,1e+09
11754194,8.47e+10
11754195,6.9113e+10
11754196,103763044106
11754197,90000001459
11754198,6.85e+10
11754199,6.9113e+10
11754200,81600001751
11754201,6.8e+10
11754202,63185631418
11754203,94531250000
11754204,6.9113e+10
11754205,6.05e+10
11754206,6.05e+10
11754207,60700000001
11754208,6.05e+10
11754209,57000001459
11754210,55000001347
11754211,6.9e+10
11754212,7.2e+10
11754213,9.2e+10
11754214,6.81e+10
11754215,8.4e+10
11754216,6.81e+10
11754217,6.5115e+10
11754218,69000001459
11754219,6e+10
11754220,1.13e+11
11754221,1.14e+11
11754222,1.09e+11
11754223,115010800000
11754224,1.13e+11
11754225,1e+09
11754226,1.07e+11
11754227,1e+09
11754228,1.01e+11
11754229,1.01e+11
11754230,9.7e+10
11754231,9e+10
11754232,8.28e+10
11754233,7.5e+10
11754234,74038920000
11754235,1.08e+11
11754236,7.43e+10
11754237,7.2e+10
11754238,6.9e+10
11754239,6.81e+10
11754240,6.81e+10
11754241,68000001123
11754242,1.17e+11
11754243,1.15e+11
11754244,1e+09
11754245,1.056e+11
11754246,1e+09
11754247,1e+09
11754248,106590000076
11754249,1.01e+11
11754250,9.6e+10
11754251,8e+10
11754252,6.8e+10
11754253,1.07e+11
11754254,6.8e+10
11754255,6.05e+10
11754256,58000001459
11754257,5.7e+10
11754258,1e+09
11754259,1.01e+11
11754260,1.01e+11
11754261,55000001123
11754262,1.17e+11
11754263,1.01e+11
11754264,77000001459
11754265,7.7e+10
11754266,73547129008
11754267,1.17e+11
11754268,1.01e+11
11754269,9.5e+10
11754270,8.47e+10
11754271,7.7e+10
11754272,57000001459
11754273,56000001513
11754274,56000001459
11754275,5.6e+10
11754276,55000001347
11754277,1.13e+11
11754278,7.8e+10
11754279,5.6e+10
11754281,1e+09
11754282,3.01e+10
11754283,9.4e+10
11754284,1e+09
11754285,9.22e+10
11754286,9.7e+10
11754287,8.46e+10
11754289,7.8e+10
11754290,7.7e+10
11754291,6.9e+10
11754292,6.7e+10
11754293,5.6e+10
11754294,5.55e+10
11754295,1e+09
11754296,1.008e+11
11754297,8.4e+10
11754298,6.6e+10
11754299,1.15e+11
11754300,1e+11
11754301,9.24e+10
11754302,8.5e+10
11754303,7.92e+10
11754304,6.6e+10
11754305,1.15e+11
11754306,9.24e+10
11754307,8.4e+10
11754308,1.02e+11
11754309,86900000233
11754310,6.5e+10
11754311,56000001459
11754312,1.16e+11
11754313,1.008e+11
11754314,9.1e+10
11754315,8.4e+10
11754316,6.16e+10
11754317,57000001459
11754318,1e+09
11754319,1.07e+11
11754320,1e+09
11754321,5.6e+10
11754322,7.72e+10
11754323,1e+09
11754324,5.6e+10
11754325,1e+09
11754326,5.6e+10
11754327,6.8e+10
11754328,5.6e+10
11754330,1e+09
11754331,55000001123
11754332,5.5e+10
11754333,5.5e+10
11754334,57000001459
11754335,9.1e+10
11754336,6.1875e+10
11754338,6.05e+10
11754339,57000001459
11754341,5.7e+10
11754342,85500002188
11754343,6.05e+10
11754344,57000001459
11754346,5.7e+10
11754347,1.1e+11
11754348,7e+10
11754349,63000000729
11754350,57000001459
11754351,57000001459
11754352,5.6e+10
11754353,5.5e+10
11754354,7.1e+10
11754355,5.5e+10
11754356,6e+10
11754357,5.5e+10
11754358,5.5e+10
11754359,5.5e+10
11754360,5.5e+10
11754361,5.5e+10
11754362,5.5e+10
11754363,7.2e+10
11754364,57000001459
11754365,57000001459
11754366,5.9e+10
11754367,5.5e+10
11754368,1e+09
11754369,5.7e+10
11754370,5.5e+10
11754371,5.5e+10
11754372,5.5e+10
11754374,7.15e+10
11754375,55000001347
11754376,5.5e+10
11754377,1e+09
11754378,5.5e+10
11754379,6e+10
11754380,5.5e+10
11754381,5.5e+10
11754382,5.5e+10
11754383,5.5e+10
11754384,5.5e+10
11754385,5.5e+10
11754386,5.5e+10
11754387,4.73e+10
11754388,1e+09
11754389,6.05e+10
11754390,5.7e+10
11754391,55000001459
11754392,6e+10
11754393,6.8e+10
11754394,6.1e+10
11754395,6e+10
11754396,5.5e+10
11754397,5.5e+10
11754398,5.5e+10
11754399,5.5e+10
11754400,5.5e+10
11754401,5.5e+10
11754402,6.05e+10
11754403,56000001459
11754404,5.5e+10
11754405,5.4625e+10
11754406,6.2315e+10
11754407,60426263800
11754408,5.5e+10
11754409,5.4e+10
11754410,5.7e+10
11754411,57750001235
11754412,74800000233
11754413,9e+10
11754414,6.4e+10
11754415,6.2e+10
11754416,9.1e+10
11754417,8.262e+10
11754418,6.84e+10
11754419,6.05e+10
11754420,8.25e+10
11754421,6.05e+10
11754422,8.6e+10
11754423,6.05e+10
11754424,5.814e+10
11754425,6.3e+10
11754426,6.05e+10
11754427,6.2e+10
11754428,8e+10
11754429,6e+10
11754430,59000001459
11754431,6.4e+10
11754432,6.4e+10
11754433,5.9e+10
11754434,5.8e+10
11754435,7.4e+10
11754436,5.8e+10
11754437,5.7e+10
11754438,1e+09
11754439,6.5e+10
11754440,6.82e+10
11754441,6.2e+10
11754442,6.2e+10
11754443,1e+09
11754444,1e+09
11754445,5.7e+10
11754446,5.7e+10
11754447,5.6e+10
11754448,55000001459
11754449,5.5e+10
11754450,1e+09
11754451,7.9e+10
11754452,7.059e+10
11754453,6.7e+10
11754454,6.8e+10
11754455,6.2e+10
11754456,6.05e+10
11754457,6.2e+10
11754458,60000001459
11754459,8.4e+10
11754460,6.82e+10
11754461,63006400000
11754462,6.2e+10
11754463,6.82e+10
11754464,6.2e+10
11754465,7.44e+10
11754466,61000001459
11754468,6e+10
11754469,63492347129
11754470,6.2e+10
11754471,6e+10
11754472,3.01e+10
11754473,6.8e+10
11754474,6.2e+10
11754475,6.2e+10
11754476,5.7e+10
11754477,1e+09
11754478,1e+09
11754479,6.2e+10
11754480,8.8e+10
11754481,1e+09
11754482,6.82e+10
11754483,6.6e+10
11754484,6.2e+10
11754485,3e+09
11754486,7.4e+10
11754487,6.2e+10
11754488,61000001459
11754489,55003500000
11754490,55003500000
11754491,5.5e+10
11754492,5.4e+10
11754493,6.2e+10
11754494,5.4e+10
11754495,53000001347
11754496,5.3e+10
11754497,6.1e+10
11754498,6.1e+10
11754499,1e+09
11754500,6.1e+10
11754501,7.5e+10
11754502,6.1e+10
11754503,6.05e+10
11754504,5.5e+10
11754505,5.4e+10
11754506,5.3e+10
11754507,5.3e+10
11754508,5.28e+10
11754509,5.2e+10
11754510,55000001459
11754511,8.25e+10
11754512,7.5e+10
11754513,62004800000
11754514,6.05e+10
11754515,8.6e+10
11754516,1e+09
11754517,7.26e+10
11754518,6.05e+10
11754519,7.8e+10
11754520,6.1e+10
11754521,6.1e+10
11754522,60469200000
11754523,6e+10
11754524,59000001347
11754525,6.05e+10
11754526,5.94e+10
11754527,6.6e+10
11754528,6.9e+10
11754529,6.4525e+10
11754530,6.1e+10
11754531,6.05e+10
11754532,6.05e+10
11754533,6.05e+10
11754534,6e+10
11754535,6.05e+10
11754537,59000001459
11754538,1e+09
11754539,60000001459
11754540,6.05e+10
11754541,6e+10
11754542,6.05e+10
11754543,7.5e+10
11754544,6.05e+10
11754545,6.1e+10
11754546,5.9e+10
11754547,1e+09
11754548,5.8e+10
11754549,5.7e+10
11754550,7e+10
11754551,5.7e+10
11754552,1e+09
