"block_number","min"
11904103,1e+09
11904104,1.01e+11
11904105,9e+10
11904106,9e+10
11904107,9e+10
11904108,1.38e+11
11904109,1e+09
11904110,1.18e+11
11904111,1.111e+11
11904112,1.05e+11
11904113,1.01e+11
11904114,1.01e+11
11904115,91000001459
11904116,133000000010
11904117,1.2e+11
11904118,1.111e+11
11904119,1.11e+11
11904120,126000001459
11904121,115200000001
11904122,1.09e+11
11904123,1.2e+11
11904124,1.0403e+11
11904125,102000001459
11904126,1.01e+11
11904127,9.5e+10
11904128,90000001347
11904129,1.25e+11
11904130,1.111e+11
11904131,1.111e+11
11904132,1.155e+11
11904133,3e+09
11904134,1.111e+11
11904135,108000001459
11904136,9e+10
11904137,9e+10
11904138,9e+10
11904139,1.09e+11
11904140,9e+10
11904141,9e+10
11904142,9e+10
11904143,1e+09
11904144,1e+09
11904145,1.3e+11
11904146,91000001459
11904147,9e+10
11904148,9e+10
11904149,9e+10
11904150,1.25e+11
11904151,1.23e+11
11904152,109000001459
11904153,9.5e+10
11904154,9.2e+10
11904156,1.2e+11
11904157,9.2e+10
11904158,1.309e+11
11904159,1.29e+11
11904160,1.04e+11
11904161,1e+11
11904162,3e+09
11904163,1.46e+11
11904164,1.32e+11
11904165,3.01e+10
11904166,1.3e+11
11904167,119900000233
11904168,1.08e+11
11904169,1.04e+11
11904170,9e+09
11904171,1.32e+11
11904172,1.14e+11
11904173,1.2e+11
11904174,1.33e+11
11904175,1.2e+11
11904176,1.32e+11
11904177,1.11e+11
11904178,1.07e+11
11904179,1.2221e+11
11904180,1.04e+11
11904181,9e+09
11904182,1.2e+11
11904183,1.07e+11
11904184,9e+09
11904185,136000001459
11904186,1.39e+11
11904187,1.32e+11
11904188,1.21e+11
11904189,1.35e+11
11904190,1e+09
11904191,1.2e+11
11904192,1.2e+11
11904193,1.2e+11
11904194,1.34e+11
11904195,1.25e+11
11904196,1.36e+11
11904197,1.3e+11
11904198,126000001459
11904199,9e+09
11904200,1.2e+11
11904201,1.2e+11
11904202,1.2e+11
11904203,1.311e+11
11904204,1.4e+11
11904205,1e+09
11904206,9e+09
11904207,1.46e+11
11904208,1.34e+11
11904209,1.26e+11
11904210,1.22e+11
11904211,1.26e+11
11904212,1.21e+11
11904213,1.21e+11
11904214,3e+09
11904215,1.452e+11
11904216,1e+09
11904217,127000001459
11904218,1.26e+11
11904219,9e+09
11904220,1.37e+11
11904221,1.276e+11
11904222,126000000001
11904223,1.26e+11
11904224,1.31e+11
11904225,1.22e+11
11904226,1.31428e+11
11904227,1.2e+11
11904228,1.2e+11
11904229,3.01e+10
11904230,1.15e+11
11904231,1e+09
11904232,1.1e+11
11904233,9e+09
11904234,1.3e+11
11904235,1.28e+11
11904236,3e+09
11904237,1.27e+11
11904238,3e+09
11904239,1.18e+11
11904240,1.49e+11
11904241,1.386e+11
11904242,1.38e+11
11904243,1.51e+11
11904244,1.377e+11
11904245,1.353e+11
11904246,1.28e+11
11904247,1.26e+11
11904248,1.27e+11
11904249,1.4165e+11
11904250,1.27e+11
11904251,1e+09
11904252,1.26e+11
11904253,1.28e+11
11904254,1.26e+11
11904255,1.3e+11
11904256,1.277e+11
11904257,1.27e+11
11904258,9e+09
11904259,1.27e+11
11904260,9e+09
11904261,1.26e+11
11904262,1.26e+11
11904263,125674200000
11904264,1.397e+11
11904265,127000001459
11904266,9e+09
11904267,1.27e+11
11904268,1e+09
11904269,1.2e+11
11904270,1.17e+11
11904271,1.122e+11
11904272,1.1e+11
11904273,1.27e+11
11904274,1.27e+11
11904275,1.1e+11
11904276,9e+09
11904277,1.397e+11
11904278,134000001561
11904279,1.31e+11
11904280,3e+09
11904281,1.32e+11
11904282,128000001459
11904283,1.26e+11
11904284,1.26e+11
11904285,1.53e+11
11904286,1.441e+11
11904287,1.32e+11
11904288,1e+09
11904289,1.42e+11
11904290,1.31e+11
11904291,1e+09
11904292,1.31e+11
11904293,1.41e+11
11904295,1.31e+11
11904296,1e+09
11904297,1.31e+11
11904298,1.3e+11
11904300,1.27e+11
11904301,1.386e+11
11904302,1.32e+11
11904303,1.32e+11
11904304,1.31e+11
11904305,1.48e+11
11904306,1.34e+11
11904307,1.31e+11
11904308,1.26e+11
11904309,1.572e+11
11904310,1.4e+11
11904311,1.32e+11
11904312,1.31e+11
11904313,9e+09
11904314,1.221e+11
11904315,117000001561
11904316,1.58e+11
11904317,1.43e+11
11904318,1.43e+11
11904319,1.32e+11
11904320,131280523264
11904321,3e+09
11904322,116600000233
11904323,1.13e+11
11904324,1.13e+11
11904325,1.32e+11
11904326,9e+09
11904327,131280523264
11904328,1e+09
11904329,1.2e+11
11904330,1e+09
11904331,1.452e+11
11904332,1.58e+11
11904333,1e+09
11904334,1.39e+11
11904335,1.44e+11
11904336,132000001459
11904337,1.32e+11
11904338,131280523264
11904339,139000001459
11904340,131280523264
11904341,131280523264
11904342,9e+09
11904343,1.21e+11
11904344,1.4e+11
11904345,1.2e+11
11904346,1.1e+11
11904347,1.45e+11
11904348,1.31e+11
11904349,1.1e+11
11904350,9e+09
11904351,132000001459
11904352,131000001347
11904353,1.26e+11
11904354,1.34e+11
11904355,9e+09
11904356,1e+09
11904357,1.1e+11
11904358,1.09e+11
11904359,1.08e+11
11904360,1.04e+11
11904361,1.34e+11
11904362,1.3816e+11
11904363,1.32e+11
11904364,1e+09
11904365,1.21e+11
11904366,1.32e+11
11904368,1.3e+11
11904369,1.21e+11
11904371,1.3e+11
11904372,1.39e+11
11904373,1.3e+11
11904375,1.3e+11
11904376,1.21e+11
11904377,1.12e+11
11904378,154041662791
11904379,1.47e+11
11904380,1.34e+11
11904381,1.3e+11
11904382,1.62e+11
11904383,1.51e+11
11904384,1.451e+11
11904385,1.3e+11
11904386,131280523264
11904387,1e+09
11904388,1.61e+11
11904389,3.01e+10
11904390,1.48e+11
11904391,1e+09
11904392,1.43e+11
11904393,1.55e+11
11904394,1e+09
11904395,1.34e+11
11904396,131280523264
11904397,1.3e+11
11904398,1.59e+11
11904399,1.53e+11
11904400,1.48995e+11
11904401,1.45e+11
11904402,1.36e+11
11904403,1.3e+11
11904404,1.3e+11
11904405,1.55e+11
11904406,1.44e+11
11904407,1.34e+11
11904408,1.3e+11
11904409,3.01e+10
11904410,1.3e+11
11904411,9e+09
11904412,1.59e+11
11904413,1.45e+11
11904414,9e+09
11904415,1.45e+11
11904416,1.3e+11
11904417,1.27e+11
11904418,1.21e+11
11904419,1.71e+11
11904420,1.59e+11
11904421,1e+09
11904422,145014500000
11904423,1.45e+11
11904424,1.419e+11
11904425,1e+09
11904426,1.21e+11
11904427,1.88e+11
11904428,166100000233
11904429,9e+09
11904430,1.6e+11
11904431,1.59e+11
11904432,1.5961e+11
11904433,1.5225e+11
11904434,1.5e+11
11904435,1.45e+11
11904436,1.45e+11
11904437,1.45e+11
11904438,1.45e+11
11904439,1.419e+11
11904440,1.45e+11
11904441,9e+09
11904442,1.19e+11
11904443,1.72e+11
11904444,1.649e+11
11904445,1.5e+11
11904446,1.63e+11
11904447,1.51e+11
11904448,151222350000
11904449,1.45e+11
11904450,1.76e+11
11904451,1.67e+11
11904452,1.64e+11
11904453,1.688e+11
11904454,1.56e+11
